Blues         classical         country         disco         hiphop         jazz         metal         pop         reggae         rock
../../../data/testData\blues.00000.mp3.txt   0,06           0,0666666666666667           0,22           0,113333333333333           0,0333333333333333           0,26           0,00666666666666667           0,0666666666666667           0,0666666666666667           0,106666666666667
../../../data/testData\blues.00001.mp3.txt   0,166666666666667           0,04           0,206666666666667           0,0266666666666667           0,0733333333333333           0,206666666666667           0           0,0933333333333333           0,12           0,0666666666666667
../../../data/testData\blues.00002.mp3.txt   0,113333333333333           0,146666666666667           0,273333333333333           0,0933333333333333           0,04           0,106666666666667           0,02           0,0466666666666667           0,0733333333333333           0,0866666666666667
../../../data/testData\blues.00003.mp3.txt   0,293333333333333           0,0266666666666667           0,153333333333333           0,02           0,0933333333333333           0,14           0,02           0,02           0,186666666666667           0,0466666666666667
../../../data/testData\blues.00004.mp3.txt   0,06           0,306666666666667           0,106666666666667           0,04           0,0266666666666667           0,246666666666667           0,00666666666666667           0,0333333333333333           0,0933333333333333           0,08
../../../data/testData\blues.00005.mp3.txt   0,16           0,22           0,14           0,0333333333333333           0,0533333333333333           0,146666666666667           0,00666666666666667           0,08           0,0933333333333333           0,0666666666666667
../../../data/testData\blues.00006.mp3.txt   0,22           0,26           0,193333333333333           0,02           0,0266666666666667           0,173333333333333           0,00666666666666667           0,0266666666666667           0,0533333333333333           0,02
../../../data/testData\blues.00007.mp3.txt   0,226666666666667           0,226666666666667           0,2           0,0133333333333333           0,0266666666666667           0,166666666666667           0,02           0,0333333333333333           0,0533333333333333           0,0333333333333333
../../../data/testData\blues.00008.mp3.txt   0,0666666666666667           0,02           0,133333333333333           0,06           0,0933333333333333           0,146666666666667           0,0533333333333333           0,1           0,173333333333333           0,153333333333333
../../../data/testData\blues.00009.mp3.txt   0,166666666666667           0,166666666666667           0,173333333333333           0,0533333333333333           0,0133333333333333           0,246666666666667           0           0,0533333333333333           0,08           0,0466666666666667
