Blues         classical         country         disco         hiphop         jazz         metal         pop         reggae         rock
../../../data/testData\blues.00000.mp3.txt   -0,209084147511551           0,0061046674566434           0,219162330519186           -0,174615343065326           -0,314580439154594           0,471119900956332           -0,0540228000387539           -0,00801392332351347           0,487067320447478           0,576859893147441
../../../data/testData\blues.00001.mp3.txt   0,655156143433391           -0,000402798438991381           -0,0815119849086591           -0,104744266439626           -0,150235616880503           -0,300460831143989           -0,097986470887837           -0,0195524860446679           0,498185935723935           0,601550355700754
../../../data/testData\blues.00002.mp3.txt   -0,0692229616153547           -0,0012780204085544           0,338418130365089           -0,164212130527018           -0,334479131764496           -0,0513002648892577           -0,00902512024998266           0,115506010703797           0,811813664510123           0,363781365844759
../../../data/testData\blues.00003.mp3.txt   0,431530836769651           0,00529984026549257           0,602726807742768           -0,0429396674098133           0,204753082137667           -0,291725601887819           -0,0142539485840371           0,00571244701219908           -0,0569406553470567           0,155838396927059
../../../data/testData\blues.00004.mp3.txt   0,827955396190521           -0,000848906322313048           -0,00289562443357451           0,028788745935331           -0,0425061342731192           0,145113824378913           -0,0202252499470427           0,100997841278761           0,0520142430485916           -0,0883938356581491
../../../data/testData\blues.00005.mp3.txt   -0,0595347418826264           0,00175636727399098           0,324242717738958           0,107537663306432           0,0644737496432973           0,0475809867565518           0,0140506468347823           0,131598167090126           -0,00265228097099656           0,370948035914379
../../../data/testData\blues.00006.mp3.txt   0,61229528952792           -0,000367470309562079           0,33108517085917           0,00341450604377824           0,0146929978113282           0,157516864532205           0,00962757709461688           -0,0484593004155333           0,0270037196755244           -0,106809431755645
../../../data/testData\blues.00007.mp3.txt   0,888388756993163           -0,000328618042813589           0,0652147755401293           0,0244804964592909           0,0285053788660021           0,0422242846093213           -0,00385198689779741           -0,0152546460389027           0,0340819694111284           -0,0634600678985476
../../../data/testData\blues.00008.mp3.txt   0,242343094749696           -0,0025642375371101           -0,619402237486818           -0,180131084255009           -0,608990257420062           0,786660651479315           0,0137784991568366           0,0484131323794034           0,928053746321961           0,391837719847919
../../../data/testData\blues.00009.mp3.txt   0,00610881581166243           -0,0103835634914626           0,440033104597908           -0,0307753622307968           -0,0656939207182841           0,397927530856218           0,0218155489388734           0,0776006732013866           0,0579413599220219           0,105424862936167
